track_id,track_duration,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
2LMkwUfqC6S6s6qDVlEuzV,248808,0.444,0.0924,-15.605,0.0366,0.784,0.0,0.304,0.219,108.917
1BViPjTT585XAhkUUrkts0,334570,0.377,0.255,-11.165,0.0387,0.975,0.000208,0.102,0.37,125.004
34xTFwjPQ1dC6uJmleno7x,177922,0.421,0.0952,-12.561,0.0479,0.931,0.000201,0.126,0.0773,109.698
5k8LB57xOq8UUNVaKWSqrf,564166,0.266,0.678,-12.364,0.508,0.769,9.37e-05,0.503,0.201,83.434
0GAE689kVy7sFT2QWZH1Xa,45640,0.347,0.33,-19.761,0.149,0.74,0.931,0.557,0.0316,82.85
7DfFc7a6Rwfi3YQMRbDMau,200747,0.721,0.339,-11.195,0.0532,0.409,0.00153,0.0973,0.2,129.83
6jypaMkKsoc5npsVzxhksl,39640,0.706,0.57,-7.129,0.0841,0.689,0.0698,0.288,0.96,115.864
1HwbgJAU9PZ7YbzKgVgoIF,148760,0.529,0.608,-7.809,0.0811,0.166,0.0185,0.109,0.616,125.017
6MEDfjHxnVNcYmHe3mM6L2,262680,0.479,0.558,-6.074,0.179,0.227,0.0,0.0808,0.8,83.465
3iW3y326xuRpNVXzOMBZy5,59760,0.357,0.827,-15.868,0.444,0.775,0.0213,0.493,0.103,152.13
0725YWm6Z0TpZ6wrNk64Eb,304760,0.739,0.419,-8.241,0.0854,0.219,0.0,0.196,0.58,60.493
2ohegz9maxzroKBu9YhcCM,184080,0.394,0.433,-13.473,0.374,0.485,7.81e-05,0.817,0.394,118.988
5lcyIeEfwZTs8Ajw3kdF7P,224147,0.429,0.736,-8.017,0.222,0.0696,0.0,0.0852,0.379,89.262
4QhWbupniDd44EDtnh2bFJ,592920,0.4,0.65,-6.104,0.0466,0.0118,7.62e-05,0.791,0.15,107.989
3GZD6HmiNUhxXYf8Gch723,234093,0.913,0.603,-4.892,0.226,0.0272,0.000503,0.167,0.497,123.061
1VMdwVq0yaTc4DeqSCi7DO,76280,0.608,0.0664,-18.857,0.0596,0.758,0.945,0.0978,0.294,139.232
0msrDPXxZpts4FRnoX0bFr,200240,0.747,0.758,-4.743,0.179,0.0521,0.0,0.214,0.601,102.02
2pMPWE7PJH1PizfgGRMnR9,175453,0.359,0.367,-7.684,0.0335,0.738,1.43e-06,0.0736,0.104,83.331
1fOkmYW3ZFkkjIdOZSf596,268813,0.392,0.233,-11.012,0.0587,0.951,0.000322,0.106,0.494,176.569
4YZbVct8l9MnAVIROnLQdx,194840,0.701,0.417,-7.818,0.0329,0.0888,0.000648,0.375,0.186,95.003
7Jayh7T1793wFTGOWD4BNw,128802,0.339,0.328,-11.32,0.122,0.802,0.00037,0.382,0.0629,87.362
2J6OF7CkpdQGSfm1wdclqn,110129,0.583,0.344,-8.765,0.0559,0.774,0.0,0.143,0.581,65.203
5PvVkf1Yuq3XyMqqjPiKPd,223630,0.602,0.5,-9.377,0.298,0.477,5.69e-05,0.295,0.395,132.798
2CzUlaKN1mvb0szagSR3ux,236704,0.679,0.281,-15.506,0.184,0.873,0.00335,0.215,0.234,74.996
0dJhXJKZTpiaxTUc7uItIN,215058,0.743,0.548,-6.545,0.0947,0.175,0.00018,0.088,0.558,85.017
6XuPJCuraeFFv7EQuMixEx,94737,0.475,0.347,-8.471,0.0517,0.493,0.00369,0.156,0.0839,113.212
0zWbYGQq5O1KQd0iqzgjP6,180304,0.549,0.242,-11.692,0.038,0.809,8.1e-05,0.127,0.286,144.211
3detfCDz7x2G34sKD1XzA6,195802,0.584,0.37,-9.493,0.0553,0.678,0.0,0.108,0.281,148.981
47y5boKoOnJoSpBpPEZvhz,178489,0.733,0.613,-6.366,0.0562,0.086,0.00122,0.0919,0.577,150.514
4bAPAjc4EmL7YNndqg7AMv,30646,0.366,0.484,-6.881,0.034,0.97,0.000333,0.116,0.552,131.172
34JL3n6rUwQbuDCYl43ozx,111031,0.527,0.329,-11.107,0.593,0.866,0.0,0.594,0.688,88.526
7LaI3mRTJu66r9HKdv7iBx,204841,0.781,0.277,-9.35,0.326,0.0408,0.000339,0.0754,0.302,163.987
6WgkOAIOPoumdilSCdYFPB,108562,0.693,0.278,-11.715,0.114,0.79,0.0,0.366,0.862,85.076
042wd4CrF4WTAwiKs0F7Ve,350549,0.582,0.502,-11.053,0.102,0.259,0.000378,0.16,0.555,85.629
2Lwe7PQk7mROzGezTrRVap,233340,0.324,0.172,-14.314,0.0553,0.97,0.000464,0.108,0.374,78.011
4mwiRPRAUSSFD6lJ86m98B,207326,0.551,0.301,-13.065,0.111,0.617,1.1e-05,0.136,0.488,84.695
3phwC9mMlIwLuTuhReiYia,316045,0.517,0.598,-10.251,0.1,0.275,0.000542,0.276,0.528,140.131
1Xm9CQRcJbOgTCpKCpS9s5,159485,0.688,0.634,-10.443,0.0929,0.14,0.000263,0.253,0.561,88.018
1uzVgNkXqQC7hsJhFZ749o,100304,0.461,0.303,-11.137,0.0543,0.746,8.98e-06,0.223,0.099,152.862
3Lj4DA8yaVF17X2buYZGJC,331018,0.511,0.439,-11.79,0.218,0.841,3.12e-05,0.225,0.124,159.815
1P5l3fAjZ7Z9XTmFHzSck5,248293,0.807,0.37,-10.783,0.0462,0.308,0.0,0.191,0.792,123.948
3JtlNOV0Huz9O9Ten4cUXV,175328,0.798,0.465,-9.849,0.0843,0.242,0.000268,0.102,0.892,83.042
0YfRAYTNTNszGg8VARrSIH,153253,0.611,0.846,-3.548,0.0374,0.178,0.0,0.12,0.544,129.961
1zhq0tJrBuL5zWNTfcMeeO,167973,0.595,0.798,-3.539,0.0349,0.477,0.0,0.238,0.504,87.955
0wCo8u7J1JGZV8yezcU37d,200667,0.65,0.559,-5.296,0.0305,0.429,0.0,0.126,0.302,84.954
5wTt43UbS3HmDvzAJ7Yax3,177027,0.543,0.723,-4.892,0.0499,0.165,0.0,0.11,0.428,143.028
0clSHsrHl2irBkObcLEZqS,185467,0.525,0.94,-3.546,0.065,0.0283,0.0,0.236,0.636,140.093
0ToJ66fjWIjBqfV5N2u77b,191533,0.597,0.766,-3.703,0.0353,0.175,0.0,0.23,0.712,139.875
5xMxyWRoe37nUlHDk72cSW,194773,0.402,0.602,-6.1,0.0382,0.389,0.0,0.0915,0.299,119.896
3krbCfc0gF9e21XejJEqTL,26105,0.257,0.26,-25.801,0.0482,0.574,0.912,0.172,0.0719,114.684
0HenRzmdVXsfqLeZ7fpj8K,151975,0.652,0.642,-4.736,0.0357,0.263,0.0,0.175,0.458,124.901
494HXkHwJnDo683EjYSBYL,139053,0.775,0.884,-4.763,0.0746,0.019,2.25e-05,0.0921,0.792,100.024
3rPkYKoR924QmwcmaYjyfo,142373,0.646,0.829,-3.468,0.0799,0.169,0.0,0.0694,0.934,151.082
4CX5pwaH90gF0AqeXZ8zbb,149627,0.424,0.725,-4.464,0.0439,0.31,0.0,0.101,0.658,201.877
08IV5RiD02METcqtfzDeqj,187000,0.555,0.516,-5.33,0.0271,0.388,0.0,0.247,0.293,137.812
3W73VhY6b5CBKpQ4vucXup,169827,0.491,0.769,-3.43,0.0299,0.0517,0.0,0.0558,0.529,154.047
2C9oTUXi4CgeTGvaHSOwpZ,183840,0.512,0.605,-4.857,0.0307,0.531,0.0,0.0924,0.336,137.856
0nTXElyiOEN60Z22Pyu9tt,201067,0.572,0.691,-5.038,0.0314,0.163,0.0,0.14,0.36,130.974
