track_id,track_duration,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,time_signature
5vC7lGRTIUcOxYTJjjctiq,121357,0.815,0.976,-3.757,0.0854,0.0108,0.594,0.26,0.861,127.946,1,1,4
6RruJIRYX8k7oRqfFFbJeg,126733,0.577,0.95,-4.305,0.189,0.0191,0.032,0.361,0.23,150.103,10,0,4
1rG2K18Whn2AGCGjbtVEmW,131011,0.485,0.894,-4.454,0.0493,8.72e-05,0.623,0.187,0.0389,174.958,8,1,4
47CrkYQcZN0P8fwgR7ppUM,121750,0.721,0.903,-3.783,0.14,0.0233,0.026,0.253,0.202,150.099,0,1,4
5JeOBnkDLx5iz5XtJph3ih,124138,0.666,0.856,-5.524,0.093,0.00185,0.116,0.0962,0.553,174.031,10,0,4
2xDhifZbqTB2JiD4dMXvQr,127420,0.518,0.948,-5.349,0.0733,0.000678,0.418,0.125,0.274,169.971,6,0,4
1RLVDcnz540VlyHh3HA5Kj,126687,0.548,0.989,-5.067,0.437,0.00751,0.000172,0.918,0.0813,159.966,7,1,4
3Povv6RhwBxa5XcL3IfBYX,161333,0.522,0.394,-12.983,0.0435,0.305,0.858,0.371,0.304,89.947,8,1,4
4exc4AjIU8f2XWyiiPIMw9,133508,0.594,0.693,-13.16,0.0361,0.0366,0.934,0.138,0.36,165.062,2,1,4
1kcPdR655TpOIncRdiv36M,156279,0.49,0.382,-16.415,0.0386,0.843,0.941,0.101,0.353,172.059,9,1,4
6yigO1WdoPnG5saC2Ue8Q0,158400,0.666,0.592,-11.838,0.0341,0.165,0.804,0.162,0.34,99.996,2,1,4
7ac5whhf35j1mLgWvd4vbS,142516,0.81,0.337,-15.572,0.0804,0.198,0.828,0.119,0.264,88.021,0,1,4
4n0U64jjg6swWKK0c6fSml,186667,0.61,0.352,-13.936,0.0899,0.628,0.913,0.353,0.221,180.087,4,1,4
2S0qHlyzmWlsQ1ll3m0bOQ,132000,0.454,0.228,-15.779,0.0314,0.982,0.929,0.0563,0.138,58.041,5,1,4
7eQ01GbBPg9wD8lqCv7euQ,151579,0.673,0.42,-15.675,0.0552,0.867,0.908,0.0778,0.245,94.988,5,1,4
2f6UgF1ipm4H3iMCysKubK,147154,0.507,0.41,-17.435,0.0558,0.335,0.486,0.277,0.301,111.623,5,1,4
6Z5GTV0KmVOg59QMWjjAzf,146250,0.691,0.545,-14.651,0.31,0.344,0.821,0.094,0.43,191.92,6,1,4
7eWdHFgFothjIz30Gs23VX,156923,0.766,0.203,-15.547,0.0655,0.533,0.882,0.117,0.44,156.008,10,1,5
2PBHjwp9SxIcH2Wgva9VYd,169600,0.417,0.518,-14.276,0.27,0.836,0.948,0.126,0.196,74.976,1,0,4
3cj9YQng1dYWyFYgDpnUQs,157923,0.743,0.386,-15.929,0.28,0.569,0.95,0.119,0.337,140.033,5,1,4
5tyrlIRgkVkjPSDGAAIHJ5,151391,0.785,0.759,-11.261,0.0997,0.479,0.906,0.119,0.178,90.001,11,0,4
7o89o6IugqrPa4SKxBHUE2,162421,0.79,0.529,-13.235,0.0775,0.714,0.576,0.117,0.283,79.999,7,1,4
43iIf2nfP3yJ7E63pI68Bh,142667,0.72,0.587,-11.928,0.161,0.349,0.915,0.116,0.159,180.001,3,1,4
7IK23Wmtv6wsFZjSh95Vi6,122723,0.726,0.676,-13.968,0.0402,0.417,0.912,0.0755,0.124,136.992,5,1,4
3Jr8v5XPeTVPPh4atagkpF,139897,0.745,0.32,-22.046,0.169,0.0867,0.797,0.0978,0.0797,180.05,9,1,4
75ud6PXsseSgvLHoaC4Uyd,180632,0.725,0.398,-14.832,0.0815,0.743,0.889,0.0857,0.0371,94.997,7,1,4
1Qa8sxnSw49UVds6bOit3z,126353,0.541,0.457,-11.288,0.0993,0.367,0.9,0.108,0.224,75.622,4,1,4
71RhiRdqn4nFWjIgdInH3w,137379,0.763,0.626,-11.331,0.0792,0.0313,0.893,0.405,0.605,144.976,4,1,4
17XDFWr497LmXFI5RbGNvc,143448,0.556,0.548,-12.991,0.0442,0.915,0.876,0.104,0.128,173.997,9,1,4
4NPZjqBMquxOU321t1ov0L,160000,0.653,0.504,-13.498,0.0432,0.457,0.632,0.367,0.205,179.988,4,1,3
4VcECMiyOnUneTc5E0Jror,136500,0.519,0.472,-12.207,0.0565,0.573,0.941,0.126,0.385,159.928,7,1,4
2aAnP9VHhhlhCqqDpteAWs,141176,0.674,0.544,-12.244,0.0724,0.148,0.783,0.263,0.247,169.924,0,1,4
2ZroGcBpwxwSsdMPb9GKF6,129286,0.746,0.477,-10.905,0.0888,0.195,0.0894,0.117,0.365,84.004,11,0,4
3mG7gsMiOJCHeFX1WpuoZO,145096,0.585,0.561,-12.383,0.0438,0.0331,0.555,0.0828,0.59,155.088,5,1,4
1AfrFk8ezXdmWNWmVnZHcS,160875,0.542,0.132,-20.202,0.0259,0.959,0.932,0.0984,0.139,79.97,7,1,3
5x4Mjwn4Jksu0939l7o3eO,120000,0.671,0.41,-12.465,0.0546,0.138,0.87,0.138,0.821,84.009,10,1,4
5KghfYws0UcNYzPG1vbnAT,157832,0.714,0.54,-7.525,0.0984,0.159,0.249,0.102,0.491,149.916,7,1,4
2HwxJaBdmHEbfoJXwP7B0j,135811,0.77,0.824,-6.684,0.137,0.0453,0.00187,0.249,0.684,129.954,8,1,4
0dIM0JcgqnXUEAjhngxnIW,157048,0.627,0.888,-5.182,0.0315,0.00475,0.79,0.11,0.5,100.033,9,1,4
6vWJxSeQ43pAZtMk79e2hP,160627,0.646,0.586,-8.025,0.0347,0.00375,0.867,0.149,0.267,99.967,9,1,4
6aQNSk4GmuFEwDj6d1udI9,159451,0.825,0.951,-7.019,0.364,0.011,0.787,0.0517,0.617,99.987,6,1,4
0ZBxokiw58dluubwDE6VZe,158276,0.435,0.965,-4.401,0.248,0.000632,0.931,0.74,0.447,145.276,10,0,4
5ofWw7dxJUFbm9771CNMus,159451,0.786,0.76,-6.594,0.105,0.000669,0.108,0.0664,0.334,99.969,1,0,4
0OTlopBGR0HLLQEkmGLSN9,153417,0.707,0.914,-5.988,0.0314,0.0013,0.676,0.112,0.639,125.995,7,0,4
7cxoZ62okeHUy9XF23pWb5,140095,0.709,0.942,-6.447,0.425,0.0262,0.657,0.59,0.604,126.016,3,1,4
69cOCEtv9madwlk2SyQ9Nh,128235,0.683,0.733,-7.242,0.0524,0.249,0.937,0.111,0.469,100.047,1,0,4
1jY10DoRjfiEwfYCsfYu3f,148245,0.699,0.963,-6.602,0.0653,0.451,0.695,0.136,0.701,150.072,5,0,4
7E1lgMaQ7apwqLS4Q8T5Es,159451,0.773,0.977,-6.765,0.0512,0.00169,0.922,0.0726,0.142,100.02,7,0,4
1APNXDIEjMx7o7F8ZBYKsu,167889,0.513,0.804,-6.436,0.143,0.688,0.805,0.105,0.91,206.848,9,1,4
7dKaDJ0F9rvlZ4O9kqUqJZ,157048,0.807,0.64,-7.267,0.0977,0.00263,0.623,0.0444,0.273,100.007,6,0,4
35fTeuHaW1WQeEjFRXHuSC,159451,0.692,0.853,-5.164,0.0443,2.23e-05,0.847,0.336,0.199,99.998,6,0,4
1axus2soPce5aKFgtzTZJI,142341,0.628,0.866,-7.314,0.134,0.0192,0.927,0.177,0.409,123.957,7,1,4
5J4LWDuug3XTWbCGujaYR9,159451,0.756,0.86,-5.205,0.351,0.0389,0.68,0.117,0.283,99.938,6,1,4
0pF103swALKkL4hRUtaryB,121051,0.742,0.95,-6.843,0.089,0.00876,0.761,0.26,0.923,124.045,6,1,4
2P61ePqnFbtgbI1v9WwE1D,159451,0.869,0.942,-5.639,0.046,0.186,0.96,0.0621,0.965,99.987,1,1,4
7rRPLou2Tf9VbhRTn5tmVJ,146547,0.489,0.917,-7.128,0.0428,0.000163,0.928,0.0612,0.337,160.011,2,1,4
7rqOsW492zt0wAPXA9Zv04,159451,0.699,0.823,-5.344,0.0451,0.00148,0.798,0.0876,0.443,100.036,11,0,4
484RfVTfJoIQpttFxiqK7n,152921,0.641,0.781,-5.257,0.202,0.0058,0.853,0.47,0.439,127.995,8,0,4
2c2QNZSakeJptSxuKsYOtF,134583,0.804,0.66,-6.588,0.052,0.0877,0.795,0.107,0.531,123.883,4,1,4
